Balkanvliegenvanger / Semi-collared Flycatcher ;340
Baltimoretroepiaal / Baltimore Oriole ;406
Baltische Mantelmeeuw / Baltic Gull ;190
Bandijsvogel / Belted Kingfisher ;238
Barabameeuw / Baraba Gull ;191
Barbarijse Frankolijn / Double-spurred Francolin ;52
Barbarijse Patrijs / Barbary Partridge ;54
Barbarijse Tortel / Barbary Dove ;424
Barbarijse Valk / Barbary Falcon ;120
Barmsijs, Groenlandse ;378 
barmsijs, Groenlandse Witstuit- ;378
Barmsiis, Grote ;378
Barmsijs, Kleine ;378
barmsijs, Witstuit- ;378
Bartramia longicauda ;170
Bartrams Ruiter / Upland Sandpiper ;170
Basrakarekiet / Basra Reed Warbler ;322
Bastaardarend / Greater Spotted Eagle ;96
Bateleur / Bateleur ;411
Beflijster / Ring Ouzel ;296
Bengaalse Stern / Lesser Crested Tern ;202
Bergeend / Common Shelduck ;22
Bergfluiter / Western Bonelli's Warbler ;328
bergfluiter, Balkan- ;328
Bergheggenmus / Siberian Accentor ;274
Berghoen, Kaspisch ;52
Berghoen, Kaukasisch ;52
Bergkalanderleeuwerik / Bimaculated Lark ;254
Bergtjiftjaf / Mountain Chiffchaff ;330
Beringmeeuw / Glaucous-winged Gull ;419
Berthelots Pieper / Berthelot's Pipit ;264
Beukenfeetiran / Acadian Flycatcher ;420
Bijeneter / European Bee-eater ;240
Bijeneter, Groene ;240
Bijeneter, Kleine Groene ;240
bijeneter, Witkeel-;420 
Bladkoning / Yellow-browed Warbler ;334
Bladkoning, Humes ;334
Blauwborst / Bluethroat ;278
blauwborst, Roodster- ;278
blauwborst, Witster- ;278
Blauwe Ekster / Iberian Magpie ;360
Blauwe Kiekendief / Hen Harrier ;104
Blauwe Nachtegaal / Siberian Blue Robin ;416
Blauwe Reiger / Grey Heron ;84
Blauwe Rotslister / Blue Rock Thrush ;296
Blauwe Vink / Blue Chaffinch ;376
Blauwe Zwartkeelzanger / Black-throated Blue Warbler ;421
Blauwkoparatinga / Blue-crowned Parakeet ;425
Blauwstaart / Red-flanked Bluetail ;278
Blauwvleugeltaling / Blue-winged Teal ;28
Blauwvleugelzanger / Blue-winged Warbler ;421
Bleke Rotsmus / Pale Rockfinch ;374
Blonde Ruiter / Buff-breasted Sandpiper ;166
Bobolink / Bobolink ;406
Bobwhite / Northern Bobwhite ;423
Boerenzwaluw / Barn Swallow ;260
Bokje / Jack Snipe ;160
Bolles Laurierduif / Bolle's Pigeon ;216
Bombvcilla cedrorum ;415
Bombvcilla garrulus ;272
Bonapartes Strandloper / White-rumped Sandpiper ;164
Bont Stormvogeltje / White-faced Storm Petrel ;74
Bontbekplevier / Common Ringed Plover ;138
Bonte IJsvogel / Pied Kingfisher ;238
Bonte Kraai / Hooded Crow ;366
Bonte Lister / Varied Thrush ;420
Bonte Stern / Sooty Tern ;204
Bonte Strandloper / Dunlin ;150
Bonte Tapuit / Pied Wheatear ;284
Bonte Vliegenvanger / European Pied Flycatcher ;340
Bonte Zanger / Black-and-white Warbler ;404
Boomklever / Eurasian Nuthatch ;348
Boomklever, Algeriinse ;348
Boomklever, Canadese ;421
Boomklever, Corsicaanse ;348
Boomklever, Turkse ;348
Boomkruiper / Short-toed Treecreeper ;350
boomkruiper, Kortsnavel- ;350
boomkruiper, Taiga- ;350
Boomleeuwerik / Woodlark ;250
Boompieper / Tree Pipit ;266
Boomvalk / Eurasian Hobby ;118
Boomzwaluw / Tree Swallow ;420
Bosgors / Rustic Bunting ;394
Boskoekoek / Oriental Cuckoo ;220
Bosrietzanger / Marsh Warbler ;320
Bosruiter / Wood Sandpiper ;154
Bosuil / Tawny Owl ;230
Botaurus lentiginosus ;80
Botaurus stellaris ;80
Braamsluiper / Lesser Whitethroat ;304
Braamsluiper, Humes ;304
Braamsluiper, Siberische ;304
Braamsluiper, Vale ;304
braamsluiper, Woestijn- ;304
Brachyramphus perdix ;420
Brandgans / Barnacle Goose ;20
Branta bernicla ;20
Branta canadensis ;20
Branta hrota ;20
Branta hutchinsit ;20
Branta leucopsis ;20
Branta nigricans ;20
Branta ruficollis ;22
Breedbekstrandloper / Broad-billed Sandpiper ;150
Brilduiker / Common Goldeneve ;42
Brilduiker, Islandse ;42
Brileider / Spectacled Eider ;408
Brilgrasmus / Spectacled Warbler ;308
Brilparulazanger / Northern Parula ;404
Brilstern / Bridled Tern ;204
Brilzee-eend / Surf Scoter ;38
Bronskopeend / Falcated Duck ;408
Bruine Boszanger / Dusky Warbler ;334
Bruine Gent / Brown Booby ;76
Bruine Kiekendief / Western Marsh Harrier ;102
Bruine Klauwier / Brown Shrike ;354
Bruine Krooneend / Southern Pochard ;418
Bruine Lister / Dusky Thrush ;300
Bruine Visuil / Brown Fish Owl ;222
Bruine Vliegenvanger / Asian Brown Flycatcher ;338
Bruingele Babbelaar / Fulvous Babbler ;360
Bruinkeelortolaan / Cretzschmar's Bunting ;396
Bruinkopgors / Red-headed Bunting ;400
Bruinkopkoevogel / Brown-headed Cowbird ;421
Bruinkopmees / Grey-headed Chickadee ;344
Bruinkopmeeuw / Brown-headed Gull ;419
Bruinnekraaf / Brown-necked Raven ;368
Bubo ascalaphus ;222
Bubo bubo ;222
Bubo scandiacus ;224
Bubo zeylonensis ;222
Bubulcus ibis ;82
Bucanetes githagineus ;390
Bucanetes mongolicus ;390
Bucephala albeola ;46
Bucephala clangula ;42
Bucephala islandica ;42
Buffelkopeend / Bufflehead ;46
Buidelmees / Eurasian Penduline Tit ;346
Buizerd / Common Buzzard ;108
buizerd, Arend- ;106
buizerd, Ruigpoot- ;108
buizerd, Steppe- ;106
Bulweria bulwerii ;72
Bulwers Stormvogel / Bulwer's Petrel ;72
Burgemeester, Grote ;194
Burgemeester, Kleine ;194
Burhinus oedicnemus ;136
senegalensis ;136
Buteo buteo ;108
Buteo buteo vulpinus ;106
Buteo lagopus ;108
Buteo rufinus ;106
Butorides striatus ;80
Butorides virescens ;80, ;410
Buulbuul, Arabische ;358
Buulbul, Grauwe ;358
buulbul, Witoor- ;358
Calandrella acutirostris ;420
Calandrella brachydactyla ;250
Calandrella rufescens ;250
Calcarius lapponicus ;394
Calidris acuminata ;166
Calidris alba ;148
Calidris alpina ;150
Calidris bairdii ;164
Calidris canutus ;148
Calidris ferruginea ;150
Calidris fuscicollis ;164
Calidris himantopus ;170
Calidris maritima ;148
Calidris mauri ;164
Calidris melanotos ;166
Calidris minuta ;152
Calidris minutilla ;152
Calidris pusilla ;164 
Calidris ruficollis ;164 
Calidris subminuta ;152
Calidris temminckii ;152
Calidris tenuirostris ;412
Californische Kuifkwartel / California Quail ;423
Calliope calliope ;278
Callipepla californica ;423
Calonectris borealis ;68
Calonectris diomedea ;68
Calonectris edwardsii ;68
Calonectris leucomelas ;418
Canadese Boomklever / Red-breasted Nuthatch ;421
Canadese Kraanvogel / Sand-hill Crane ;412
Canadese Zanger / Canada Warbler ;421
Canarische Goudhaan / Canary Islands Kinglet ;336
Canarische Roodborsttapuit / Canary Islands Bush Chat ;292
Canarische Tjiftjaf / Canary Islands Chiffchaff ;330
Canarische Woestijnklapekster / Canary Islands Desert Grey Shrike ;352
Caprimulgus aegyptius ;234
Caprimulgus europaeus ;234
Caprimulgus eximius ;420
Caprimulgus nubicus ;234
Caprimulgus ruficollis ;234
Cardellina canadensis ;421
Cardellina pusilla ;421
Carduelis cabaret ;378
Carduelis cannabina ;378
Carduelis carduelis ;380
Carduelis citrinella ;380
Carduelis corsicana ;380
Carduelis flammea ;378
Carduelis (flammea) rostrata ;378
Carduelis flavirostris ;378
Carduelis flavirostris brevirostris ;378
Carduelis hornemanni ;378
Carduelis (hornemanni) exilipes ;378
Carduelis spinus ;380
Carolina-eend / Wood Duck ;422
Carpodacus erythrinus ;388
Carpodacus roseus ;421
Carpodacus rubicilla ;388
Carpodacus synoicus ;388
Carpospiza brachydactyla ;374
Casarca / Ruddy Shelduck ;22
Casarca, Kaapse ;422
Casmerodius albus ;82
Catharus fuscescens ;298
Catharus guttatus ;298
Catharus minimus ;298
Catharus ustulatus ;298
Cecropis daurica ;260
Cederpestvogel / Cedar Waxwing ;415
Centropus senegalensis ;220
Cepphus grylle ;208
Cercotrichas galactotes ;276
Cercotrichas podobe ;416
Certhia brachydactyla ;350
Certhia familiaris ;350
Ceryle rudis ;238
Cettia cetti ;318
Cettis Zanger / Cettis Warbler ;318
Chaetura pelagica ;415
Charadrius alexandrinus ;140
Charadrius asiaticus ;142
Charadrius dubius ;138
Charadrius hiaticula ;138
Charadrius leschenaultii ;140
Charadrius mongolus ;140
Charadrius morinellus ;142
Charadrius pecuarius ;140
Charadrius semipalmatus ;138
Charadrius tricollars ;419
Charadrius veredus ;419
Charadrius vociferus ;138
Chersophilus duponti ;256
Chileense Flamingo / Chilean Flamingo ;86, ;424
Chinees Stormvogeltje / Swinhoe's Storm Petrel ;74
Chinese Karekiet / Oriental Reed Warbler ;420
Chinese Klauwier / Chinese Shrike ;354
Chinese Ralreiger / Chinese Pond Heron ;418
Chlamvdotis undulata ;130
Chlamvdotis macqueenii ;130
Chlidonias hybrida ;206
Chlidonias leucopterus ;206
Chlidonias niger ;206
Chlidonias (niger) surinamensis ;206
Chloris chloris ;380
Chondestes grammacus ;421
Chordeiles minor ;234
Chroicocephalus
Chroicocephalus brunnicephalus ;419
Chroicocephalus cirrocephalus ;413
Chroicocephalus genei ;180
Chroicocephalus philadelphia ;180
Chroicocephalus ridibundus ;180
Chrysococeyr caprius ;420
